original_comment,cleaned_comment
kalo ngobrol shootnya dua2nya nikmat,kalo ngobrol shootnya dua nikmat
bjorka ketawa liat berita ketangkep y,bjorka ketawa liat berita ketangkep
mentok mentok polisi pake dukun,mentok mentok polisi pake dukun
biasa rekayasa numbalin orang,biasa rekayasa numbalin orang
pov bjorka nyeduh kopi dlu kali,pov bjorka nyeduh kopi dlu kali
isi podcastnya kaget smw ga isasia ngikutin it,isi podcastnya kaget smw isasia ngikutin
laku polisi salah nangkep udah,laku polisi salah nangkep udah
bjorka kren kyk film film seru,bjorka kren kyk film film seru
udah bantu gong sihh tu,udah bantu gong sihh
bjorka ketangkep harun mas pupukpapah,bjorka ketangkep harun mas pupukpapah
bjorka asli lingkar,bjorka asli lingkar
sim umur hidup keren polisi,sim umur hidup keren polisi
bang bjorkaa bocor data curi uang rakyat donk biar pd insaf,bjorkaa bocor data curi uang rakyat donk biar insaf
bayangin bjorka geli n malu liat isilop si swodoh kasih lawan minimal imbang,bayangin bjorka geli malu liat isilop swodoh kasih lawan minimal imbang
inget film the accountant adminnya si accountant,inget film the accountant adminnya accountant
bjorka jgn tangkap krn takut koruptor,bjorka jgn tangkap krn takut koruptor
bjorka nonton tertawa,bjorka nonton tertawa
intel yg sungguh om deddy,intel sungguh deddy
99 bjorka alih isu,bjorka alih isu
ketawa berita polisi nangkap bjorka orang kelas fufufafa aja gk nangkap,ketawa berita polisi nangkap bjorka orang kelas fufufafa nangkap
klo bener polisi ny kocak jeblak biar kereeeen,klo bener polisi kocak jeblak biar kereeeen
judol urusin gak kelar aja alibi nya,judol urusin gak kelar alibi
ngapain nyari bjorka judol tuh urusin poll,ngapain nyari bjorka judol tuh urusin poll
yg susah nangkap bandar narkoba bandar judol,susah nangkap bandar narkoba bandar judol
perintah dukung irang2 data indonesia,perintah dukung irang data indonesia
nangkep curanmor aja syulit hacker kelas bjorka,nangkep curanmor syulit hacker kelas bjorka
moga perintah era apa focus manfaat optimal talenta2 potensial negeri nkri maju sejahterabanyak fakta talenta anak negeri abai negara lantar manfaat contoh th 19803 anak its hasil rancang mobil listrik sukses ujuicoba surabaya jakarta eeee telah abai tenggelamsekarang motor listrik china banjir indobgt mobilnyaitu akibat karakter politis yg bener bgmn iptn disiasiakan,moga perintah era apa focus manfaat optimal talenta potensial negeri nkri maju sejahterabanyak fakta talenta anak negeri abai negara lantar manfaat contoh anak its hasil rancang mobil listrik sukses ujuicoba surabaya jakarta eeee abai tenggelamsekarang motor listrik china banjir indobgt mobilnyaitu akibat karakter politis bener bgmn iptn disiasiakan
bjorka 1orang kumpul hacker mudah aparat tangkap,bjorka orang kumpul hacker mudah aparat tangkap
garis nya instansi polisi tertawa,garis instansi polisi tertawa
salah tangkap polisi indonesia polisi indonesia salah tangkap,salah tangkap polisi indonesia polisi indonesia salah tangkap
byorka byorka gw,byorka byorka
jangan2 yg undang bjorka yg asli,jangan undang bjorka asli
polri paham pecah arti 001 mimpi ketemu bjorka,polri paham pecah arti mimpi ketemu bjorka
bjorka nonton nih,bjorka nonton nih
layan pinter ngelawak ngejalani tugas,layan pinter ngelawak ngejalani tugas
plot twist nya bjorka wkwk,plot twist bjorka
yg jdi narasumber gue tau orang keren si orang,jdi narasumber gue tau orang keren orang
tnya,tnya
gaya transisi 855banget bro,gaya transisi banget
bjorka nya yg deddy dlm podcast,bjorka deddy dlm podcast
bjorkanya recall2,bjorkanya recall
1000000 warga indonesia udh tau polisi sih no lbh polisi tidur,warga indonesia udh tau polisi lbh polisi tidur
udah percaya aja bjorka biar neng apreasiasi kerja perintah,udah percaya bjorka biar neng apreasiasi kerja perintah
chatting jalan senyap marketplace wkwkwk,chatting jalan senyap marketplace
bjorka ngakak liat,bjorka ngakak liat
salah hibur,salah hibur
gilak dar der dor fix om ded ken tau pake banget walhasil ilmu yg didapet thanks om ded tim udah ngundang orang yg keren,gilak dar der dor fix ded ken tau pake banget walhasil ilmu didapet thanks ded tim udah ngundang orang keren
udah pangkas rambut anak anak kominitas hacker heckeran,udah pangkas rambut anak anak kominitas hacker heckeran
biar bilang kerja nangkap gak heran weteng coklat,biar bilang kerja nangkap gak heran weteng coklat
gua bjorka nonton berak pegang hp ketawa ha ha hi hi,gua bjorka nonton berak pegang ketawa
hai indonesia bjorka sehat damai sejahtera transfer uang ketua cyber security indonesia,indonesia bjorka sehat damai sejahtera transfer uang ketua cyber security indonesia
ngx bayang instansi ono betapa malu,ngx bayang instansi ono betapa malu
undang menkeu purbaya om ded,undang menkeu purbaya ded
listyo sigit bikin mlu ama byorka,listyo sigit bikin mlu ama byorka
sicoklat bahan bullyan seindo,sicoklat bahan bullyan seindo
rekrutmen polisi minimal s1,rekrutmen polisi minimal
om ded ketawa jahat akakakakakak,ded ketawa jahat akakakakakak
sadar kalo trnyata slama dibritakan gk karu2 an orang yg nikah aku pura2 nila sadar kalo trnyata orang kompak tutup nikah palsu benar nikah anak bapak cuman nutupi dari yakin ku tuhan kalo bohong,sadar kalo trnyata slama dibritakan karu orang nikah aku pura nila sadar kalo trnyata orang kompak tutup nikah palsu benar nikah anak bapak cuman nutupi yakin tuhan kalo bohong
hati2 bwt coment,hati bwt coment
wtf,wtf
bang hacker bikin hujan duit yu indo,hacker bikin hujan duit indo
gw percaya polisi umum kalo hittler tinggal garut polisi umum hasil nangkep bjorka umum kerja bohong emang berita polisi bener bohong,percaya polisi umum kalo hittler tinggal garut polisi umum hasil nangkep bjorka umum kerja bohong emang berita polisi bener bohong
hubung company ansuransi scamer tau maklumat sy,hubung company ansuransi scamer tau maklumat
bejorka sumber data info orang orang komdigi henti bejorka pegawai ganti tangkap muncul bejorkannya,bejorka sumber data info orang orang komdigi henti bejorka pegawai ganti tangkap muncul bejorkannya
1744 om ded coba giring beliau jurang beliau loncat respect,ded coba giring beliau jurang beliau loncat respect
salah tangkap alangkah malu nya polri pers liris konferensi pers gimna rating polisi,salah tangkap alangkah malu polri pers liris konferensi pers gimna rating polisi
422 sumpah estetik banget transisi halus warnawarnanya bikin adem 855dan musik latar cocok banget,sumpah estetik banget transisi halus warnawarnanya bikin adem musik latar cocok banget
polisi pintar bukti,polisi pintar bukti
om ded mode intel gali trosss omm,ded mode intel gali trosss omm
nangkep milik judol gak nangkep hacker,nangkep milik judol gak nangkep hacker
hacker fokus ceh pen test bug bounty cyber security,hacker fokus ceh pen test bug bounty cyber security
depan muncul byorka yg asli polisi malu gak yaginian perintah rekrut orang2 ginian yg bantu sayber perintah aman sayber perintah orang sungguh pintar sistim program,depan muncul byorka asli polisi malu gak yaginian perintah rekrut orang ginian bantu sayber perintah aman sayber perintah orang sungguh pintar sistim program
rendah serendah rendah nya instansi nya sebut bjorka facebluesmiling facebluesmiling facebluesmiling facebluesmiling,rendah serendah rendah instansi sebut bjorka facebluesmiling facebluesmiling facebluesmiling facebluesmiling
bjorka i m still alive bitts,bjorka still alive bitts
gila nasib gue jalan hidup gue kacau kluarga brita gue dah jelek banget suami gue diam2 dah nikahin anak tahu gw anak gue gk gue slama gw bohong gk tau karna kompak bohong,gila nasib gue jalan hidup gue kacau kluarga brita gue dah jelek banget suami gue diam dah nikahin anak tahu anak gue gue slama bohong tau karna kompak bohong
rasa banget ni cuman web perintah web web umkm luput sebotase gak jahat si cuman nyisipin kode web judol aja tpi bener bener masuk,rasa banget cuman web perintah web web umkm luput sebotase gak jahat cuman nyisipin kode web judol tpi bener bener masuk
om dedi sm bjntang tamu bagamana bkn djorka g tau,dedi bjntang tamu bagamana bkn djorka tau
bjorka nonton podcast bjorka dmna buka data2 pejabat2 korupsi indonesia lembaga teimksh,bjorka nonton podcast bjorka dmna buka data jabat korupsi indonesia lembaga teimksh
gua sadar anak indonesia yg pintar harga sedih negara,gua sadar anak indonesia pintar harga sedih negara
ngehack situng kpu sih hitung suara manual formulirdokumen lacak mainhya ngehack manual alias beli suara ama tugas catat hehehe,ngehack situng kpu hitung suara manual formulirdokumen lacak mainhya ngehack manual alias beli suara ama tugas catat hehehe
1 intel gak ngaku klo intel hacker bjorka salah dr,intel gak ngaku klo intel hacker bjorka salah
nangkep bjorka ngakak guling guling kalo nangkep maling ayam percaya butuh bulan bantu siva,nangkep bjorka ngakak guling guling kalo nangkep maling ayam percaya butuh bulan bantu siva
gak ngalahin video lapar makan haus minum gacor di855,gak ngalahin video lapar makan haus minum gacor
bjorka bs dikadalin,bjorka dikadalin
katakata no system is safe,katakata system safe
bjorka nonton senyum senyum,bjorka nonton senyum senyum
proyek jabat polisi nangkep orang kadang maksa wkwk,proyek jabat polisi nangkep orang kadang maksa
harap anak sma tangkap hacker beda class,harap anak sma tangkap hacker beda class
kasihan yg ketangkep kambing hitam,kasihan ketangkep kambing hitam
inget film who am i no system is safe sampe endingnya ngehack otak sidik europol nya,inget film who system safe sampe endingnya ngehack otak sidik europol
korupsi hukum mati indonesia jaya,korupsi hukum mati indonesia jaya
dunia nyata aja salah tangkap dunia ndak nyata,dunia nyata salah tangkap dunia ndak nyata
kasihan yg tangkap gak hukum rekayasa utk hukum,kasihan tangkap gak hukum rekayasa utk hukum
hacker yg pinter gin layak rekrut anggota polri unit cyber manfaat tuh nyadap jabat biar gk korupsi,hacker pinter gin layak rekrut anggota polri unit cyber manfaat tuh nyadap jabat biar korupsi
rakyat pakai baju bjorka tangkap polisi,rakyat pakai baju bjorka tangkap polisi
isu alih uud empas aset,isu alih uud empas aset
bener ngalami telegram bayar habis ga lanjutin koruptor plihara 62,bener ngalami telegram bayar habis lanjutin koruptor plihara
masyarakat gaptek cik cik,masyarakat gaptek cik cik
jago apa elu kalo sodara lu yg instansi lu apa2 indonesia hebat yg kaya soadara wajib,jago apa elu kalo sodara instansi apa indonesia hebat kaya soadara wajib
mas teguh udh bilang g kerja perintah,mas teguh udh bilang kerja perintah
1752 catat,catat
bener banget bocor data usaha swasta hukum tp kalo perintah ga hukum apa2 data besar perintah ohhh konoha,bener banget bocor data usaha swasta hukum kalo perintah hukum apa data besar perintah ohhh konoha
agen investigasi mode podcast,agen investigasi mode podcast
dapat bjorka komunitas instansi,bjorka komunitas instansi
plot twist podcast om ded bjorkanya canda,plot twist podcast ded bjorkanya canda
bjorka blokir pinjol aja gk,bjorka blokir pinjol
hitung berp kali kalimat simple ucap,hitung berp kali kalimat simple ucap
menit 29 gong sihh bantu perintah lapor jemput polisi aneh nya indonesiaa kuuu bjorka gas terusss indonesia atas kaya miskin penting penting pribadi,menit gong sihh bantu perintah lapor jemput polisi aneh indonesiaa kuuu bjorka gas terusss indonesia kaya miskin penting penting pribadi
nangkep bandar judol aja gak iya nangkep hackerkocak,nangkep bandar judol gak nangkep hackerkocak
institusi hina malu penuh rekayasa,institusi hina malu penuh rekayasa
polisi berperestasi bntr2 gw numpang ketawa behahahaha,polisi berperestasi bntr numpang ketawa behahahaha
wadah hacker hacker utk lawan mafia korupsi dr siber minyak,wadah hacker hacker utk lawan mafia korupsi siber minyak
gin sigit kekeh mundur,gin sigit kekeh mundur
segitu parah nya instansi mata rakyak sampe hacker yg aja ga nolong obok data anggap hibur,segitu parah instansi mata rakyak sampe hacker nolong obok data anggap hibur
polisi yg bener polisi tidur,polisi bener polisi tidur
kalo bener bearti 2 kali salah tangkep bjorka udahlah buang buang,kalo bener bearti kali salah tangkep bjorka udahlah buang buang
sih bjorka sih kelompok individusendiri yg tangkap iya dya salah satu n mudah2an ketangkep bahaya,bjorka kelompok individusendiri tangkap dya salah satu mudah ketangkep bahaya
jabat angkat politisi2 teknokrat peduli teknologi menristek teknokrat bj habibi,jabat angkat politis teknokrat peduli teknologi menristek teknokrat habibi
polisi biar kes kerja hasil reformasi,polisi biar kes kerja hasil reformasi
kalo bjorka baca bang salam kenal lo keren,kalo bjorka baca salam kenal keren
teknokrat ahli bidang teknis ilmiah anggap sosial perintah pecah terap ilmu tahu teknologi data harap putus dasar fakta bukti ilmiah opini politik bias subjektif,teknokrat ahli bidang teknis ilmiah anggap sosial perintah pecah terap ilmu tahu teknologi data harap putus dasar fakta bukti ilmiah opini politik bias subjektif
keren om ded ngundang si bjorka asli podcast,keren ded ngundang bjorka asli podcast
baju coklat wkwkwk hasil jual sawah oyyy karna mampu,baju coklat hasil jual sawah oyyy karna mampu
4949 isriwil jabat ga bs kutik alas diri apple ms suka surat,isriwil jabat kutik alas diri apple suka surat
gue neng aja obrol nya polisi nangkep hacker mah gak peduli gue mah polisi dapet proyek an trus klien nya hasil tangkap nya share media,gue neng obrol polisi nangkep hacker mah gak peduli gue mah polisi dapet proyek trus klien hasil tangkap share media
yg bilang pelihara tangkap suruh hasil wkwkwk,bilang pelihara tangkap suruh hasil
heheheh institusi grub lawak,heheheh institusi grub lawak
rusak rusak cctv emang jago,rusak rusak cctv emang jago
lucu aja polisi indonesia tangkap bjorka polisi haus puji rakyat indonesia tangkap deh bandar judol,lucu polisi indonesia tangkap bjorka polisi haus puji rakyat indonesia tangkap bandar judol
bjorka bagi musuh masyarakat musuh perintah korup institusi bregsek,bjorka musuh masyarakat musuh perintah korup institusi bregsek
plot twist bintang tamu bjorka,plot twist bintang tamu bjorka
buat jahat samar dlm wujud jd anak punk bjorka ubah jd wujud kecut polisi kecoh,buat jahat samar dlm wujud anak punk bjorka ubah wujud kecut polisi kecoh
polisi indonesia keren,polisi indonesia keren
urus ciber sdm polri batas kendala atur yg kasus2 mandek,urus ciber sdm polri batas kendala kasus mandek
data polisi buka yg beli oposisi senjata politik,data polisi buka beli oposisi senjata politik
wooww kelas hecker polisi tipu,wooww kelas hecker polisi tipu
jago2 hacker kelas dunia dr indo kerennn dehhh,jago hacker kelas dunia indo kerennn dehhh
2304 kaya film the contractor 2 anak2 butuh khusus mampu hackingnya luarr biasaa,kaya film the contractor anak butuh khusus mampu hackingnya luarr biasaa
gua harap bjorka twit jadi klo,gua harap bjorka twit jadi klo
adlah yg asli ituuu yg tonton skrng,adlah asli ituuu tonton skrng
mendalamin hacking gapunya laptop ga dalam warnet,mendalamin hacking gapunya laptop warnet
institusi malu2in banget alloh,institusi maluin banget alloh
saran polri tangkap aja masyarakat indonesia tau aja bjorka,saran polri tangkap masyarakat indonesia tau bjorka
yg pelihara negara koruptor,pelihara negara koruptor
reformasi polri cepat,reformasi polri cepat
jago nangkep spionsok nangkep bjorka mengtololl,jago nangkep spionsok nangkep bjorka mengtololl
tangkep bjirka,tangkep bjirka
